country,year,week,cases_by_week,deaths_by_week
DEMOCRATIC REPUBLIC OF THE CONGO,2023,39,783.0,10.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,40,780.0,6.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,41,1106.0,11.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,42,733.0,6.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,43,728.0,2.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,44,818.0,5.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,45,875.0,17.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,46,819.0,21.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,47,901.0,14.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,48,1176.0,31.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,49,1184.0,4.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,50,1396.0,5.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,51,1378.0,5.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,52,989.0,3.0
ETHIOPIA,2023,1,35.0,0.0
ETHIOPIA,2024,1,420.0,0.0
ETHIOPIA,2023,2,58.0,0.0
ETHIOPIA,2024,2,248.0,0.0
ETHIOPIA,2023,3,74.0,0.0
ETHIOPIA,2024,3,392.0,14.0
ETHIOPIA,2023,4,56.0,0.0
ETHIOPIA,2024,4,801.0,2.0
ETHIOPIA,2023,5,56.0,0.0
ETHIOPIA,2024,5,825.0,4.0
ETHIOPIA,2023,6,123.0,0.0
ETHIOPIA,2024,6,951.0,12.0
ETHIOPIA,2023,7,126.0,1.0
ETHIOPIA,2024,7,872.0,8.0
ETHIOPIA,2023,8,150.0,0.0
ETHIOPIA,2024,8,696.0,3.0
ETHIOPIA,2023,9,160.0,0.0
ETHIOPIA,2024,9,701.0,5.0
ETHIOPIA,2023,10,151.0,3.0
ETHIOPIA,2024,10,671.0,5.0
ETHIOPIA,2023,11,379.0,0.0
ETHIOPIA,2024,11,1006.0,1.0
ETHIOPIA,2023,12,326.0,7.0
ETHIOPIA,2024,12,1326.0,2.0
ETHIOPIA,2023,13,542.0,1.0
ETHIOPIA,2024,13,1240.0,16.0
ETHIOPIA,2023,14,616.0,5.0
ETHIOPIA,2024,14,970.0,0.0
ETHIOPIA,2023,15,688.0,7.0
ETHIOPIA,2024,15,1169.0,3.0
ETHIOPIA,2023,16,937.0,6.0
ETHIOPIA,2024,16,0.0,0.0
ETHIOPIA,2023,17,751.0,4.0
ETHIOPIA,2024,17,2155.0,24.0
ETHIOPIA,2023,18,553.0,8.0
ETHIOPIA,2024,18,805.0,3.0
ETHIOPIA,2023,19,653.0,4.0
ETHIOPIA,2024,19,429.0,23.0
ETHIOPIA,2023,20,879.0,13.0
ETHIOPIA,2024,20,490.0,3.0
ETHIOPIA,2023,21,1018.0,8.0
ETHIOPIA,2024,21,1347.0,
ETHIOPIA,2023,22,1007.0,10.0
ETHIOPIA,2024,22,0.0,0.0
ETHIOPIA,2023,23,975.0,12.0
ETHIOPIA,2024,23,572.0,6.0
ETHIOPIA,2023,24,725.0,9.0
ETHIOPIA,2024,24,504.0,1.0
ETHIOPIA,2023,25,554.0,13.0
ETHIOPIA,2024,25,578.0,5.0
ETHIOPIA,2023,26,445.0,15.0
ETHIOPIA,2024,26,0.0,0.0
ETHIOPIA,2023,27,513.0,1.0
ETHIOPIA,2024,27,807.0,5.0
ETHIOPIA,2023,28,1836.0,11.0
ETHIOPIA,2024,28,226.0,12.0
ETHIOPIA,2023,29,1200.0,4.0
ETHIOPIA,2024,29,1053.0,26.0
ETHIOPIA,2023,30,542.0,1.0
